,StadiumID,Stadium,PlayingSurface,Type
0,1,Highmark Stadium,1,2
1,2,Hard Rock Stadium,3,2
2,3,MetLife Stadium,1,2
3,4,Gillette Stadium,1,2
4,5,Paycor Stadium,1,2
5,6,Cleveland Browns Stadium,3,2
6,7,M&T Bank Stadium,3,2
7,8,Acrisure Stadium,3,2
8,9,Lucas Oil Stadium,1,3
9,10,EverBank Stadium,3,2
10,11,NRG Stadium,1,3
11,12,Nissan Stadium,3,2
12,13,Empower Field at Mile High,3,2
13,14,Qualcomm Stadium,3,2
14,15,Arrowhead Stadium,3,2
15,16,RingCentral Coliseum ,3,2
16,17,AT&T Stadium,1,3
17,18,Lincoln Financial Field,3,2
18,19,FedEx Field,3,2
19,20,Soldier Field,3,2
20,21,Ford Field,1,1
21,22,Lambeau Field,3,2
22,23,Mall of America Field,1,1
23,24,Raymond James Stadium,3,2
24,25,Georgia Dome,1,1
25,26,Bank of America Stadium,1,2
26,27,Caesars Superdome,1,1
27,28,Candlestick Park,3,2
28,29,State Farm Stadium,3,3
29,30,Edward Jones Dome,1,1
30,31,Lumen Field,1,2
31,33,Wembley Stadium,3,3
32,34,Rogers Centre,2,3
33,35,Fawcett Stadium,1,2
34,36,Huntington Bank Stadium,1,2
35,37,Levi's Stadium,3,2
36,38,Los Angeles Memorial Coliseum,3,2
37,39,Camping World Stadium,1,2
38,40,Twickenham Stadium,3,2
39,41,Estadio Azteca,3,2
40,42,U.S. Bank Stadium,1,1
41,43,Dignity Health Sports Park,3,2
42,45,Mercedes-Benz Stadium,1,3
43,46,Tom Benson Hall of Fame Stadium,1,2
44,47,Tottenham Hotspur Stadium,1,2
45,48,Aloha Stadium,1,2
46,50,Investors Group Field,1,2
47,53,Allegiant Stadium,3,1
48,54,SoFi Stadium,1,1
49,55,Allianz Arena,3,2
50,86,Deutsche Bank Park,3,2
