,GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID,month,year,dayofyear
0,202110134,2021-09-12 13:00:00,1,2021,1,ARI,TEN,AWAY,38,13,51,Nissan Stadium,10,14,14,0,0,33,21,33:21,22,7,13,2,67,416,6.2,5,33,136,4.1,1,32,21,280,4,1,8.8,13.3,65.6,119.79,13,7,53.8,0,0,0.0,5,4,0,0,8,59,0,0,2,9,9,8,3,144,48.0,1,3,2,0,6,7,0,0,26,39,26:39,17,5,12,0,64,248,3.9,2,22,86,3.9,1,36,22,162,1,1,4.5,7.4,61.1,69.44,14,5,35.7,3,1,33.3,2,2,0,0,7,57,2,2,6,56,3,2,3,151,50.3,3,1,-2,80.0,0,100.0,0,5,5,0,0,0,0,0,2,1,2,1,0,0,0,0,0,1,0,45,11,6,56,8,2,2,55,6,2,9,3,0,0,Sunday,993002444,1,34,17687,9,2021,255
1,202110102,2021-09-12 13:00:00,1,2021,1,ATL,PHI,HOME,6,32,38,Mercedes-Benz Stadium,3,3,0,0,0,28,57,28:57,19,7,8,4,64,260,4.1,0,26,124,4.8,0,35,21,136,0,0,3.9,6.5,60.0,68.27,14,3,21.4,3,1,33.3,2,0,0,0,12,99,0,0,3,28,1,5,6,279,46.5,0,0,0,7,8,7,10,0,31,3,31:03,24,10,13,1,67,434,6.5,4,31,173,5.6,1,35,27,261,3,0,7.5,9.7,77.1,126.01,13,6,46.2,2,0,0.0,3,3,0,0,14,89,0,0,1,3,9,6,4,189,47.2,0,0,0,0.0,0,100.0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,1,1,1,1,42,36,1,3,3,0,0,28,52,3,28,2,0,0,Sunday,993002439,2,26,17683,9,2021,255
2,202110125,2021-09-13 20:15:00,1,2021,1,BAL,LV,AWAY,27,33,60,Allegiant Stadium,7,7,3,10,0,32,14,32:14,20,8,11,1,67,406,6.1,3,34,189,5.6,2,30,19,217,1,0,7.2,11.4,63.3,96.11,12,3,25.0,2,1,50.0,2,2,0,0,5,71,2,2,3,18,7,5,4,179,44.8,2,1,-1,0,10,0,17,6,34,8,34:08,26,6,17,3,80,491,6.1,4,21,82,3.9,2,56,34,409,2,1,7.3,12.0,60.7,87.57,15,7,46.7,1,0,0.0,6,3,0,0,10,62,0,0,3,26,7,4,6,316,52.7,1,2,1,100.0,0,50.0,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,50,19,3,27,5,0,0,39,33,3,18,2,2,2,Monday,993002466,3,25,17697,9,2021,256
3,202110104,2021-09-12 13:00:00,1,2021,1,BUF,PIT,HOME,16,23,39,Highmark Stadium,3,7,0,6,0,33,17,33:17,22,8,13,1,79,371,4.7,1,25,117,4.7,0,51,30,254,1,0,5.0,8.5,58.8,78.39,18,8,44.4,3,1,33.3,4,1,0,0,8,81,1,1,3,16,6,5,3,137,45.7,1,0,-1,0,0,6,17,0,26,43,26:43,16,4,9,3,55,252,4.6,2,21,75,3.6,0,32,18,177,1,0,5.5,9.8,56.2,82.42,12,4,33.3,0,0,0.0,3,1,0,0,5,32,0,0,2,11,8,5,5,207,41.4,0,1,1,25.0,0,33.3,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,3,3,37,6,2,11,6,1,0,53,28,3,17,7,4,1,Sunday,993002453,4,28,17684,9,2021,255
4,202110105,2021-09-12 13:00:00,1,2021,1,CAR,NYJ,HOME,19,14,33,Bank of America Stadium,0,16,0,3,0,31,20,31:20,18,4,14,0,63,381,6.0,2,27,111,4.1,1,35,24,270,1,0,7.7,11.2,68.6,100.89,14,4,28.6,1,0,0.0,4,1,0,0,6,38,1,1,1,9,10,6,6,225,37.5,1,1,0,0,0,8,6,0,28,40,28:40,16,4,10,2,60,252,4.2,2,17,45,2.6,0,37,20,207,2,1,5.6,10.4,54.1,77.2,13,4,30.8,2,1,50.0,1,1,0,0,5,30,0,0,6,51,8,4,7,347,49.6,1,1,0,25.0,0,100.0,0,2,1,0,0,0,0,0,2,2,0,0,0,2,0,1,1,0,0,31,23,6,56,8,1,0,33,38,1,9,1,0,1,Sunday,993002443,5,24,17690,9,2021,255
5,202110132,2021-09-12 20:20:00,1,2021,1,CHI,LAR,AWAY,14,34,48,SoFi Stadium,0,7,7,0,0,35,14,35:14,24,10,13,1,69,322,4.7,2,26,134,5.2,2,40,29,188,0,1,4.7,6.5,72.5,71.67,11,5,45.5,4,0,0.0,3,2,0,0,3,35,1,1,3,28,4,0,1,36,36.0,2,0,-2,10,3,14,7,0,24,46,24:46,18,4,13,1,50,386,7.7,4,23,74,3.2,1,26,20,312,3,0,12.0,15.6,76.9,154.65,11,6,54.5,1,1,100.0,4,2,0,0,4,36,0,0,1,9,3,5,1,50,50.0,0,2,2,66.7,0,50.0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,2,25,23,1,9,1,0,0,51,31,3,28,7,1,1,Sunday,993002464,6,32,17696,9,2021,255
6,202110107,2021-09-12 13:00:00,1,2021,1,CIN,MIN,HOME,27,24,51,Paycor Stadium,0,14,7,3,3,34,51,34:51,20,7,12,1,68,366,5.4,3,36,149,4.1,1,27,20,217,2,0,8.0,10.8,74.1,121.99,14,3,21.4,3,2,66.7,3,2,0,0,3,15,0,0,5,44,8,7,7,332,47.4,0,1,1,0,7,7,10,0,35,9,35:09,24,5,16,3,75,403,5.4,3,22,67,3.0,1,50,37,336,2,0,6.7,9.1,74.0,105.08,16,6,37.5,2,2,100.0,2,2,0,0,12,116,1,1,3,26,7,7,8,402,50.2,1,0,-1,66.7,0,100.0,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,48,25,3,26,2,1,1,50,29,5,44,2,0,0,Sunday,993002441,7,20,17685,9,2021,255
7,202110116,2021-09-12 16:25:00,1,2021,1,CLE,KC,AWAY,29,33,62,Arrowhead Stadium,8,14,0,7,0,27,13,27:13,24,9,14,1,56,457,8.2,4,26,153,5.9,4,28,21,304,0,1,10.9,14.5,75.0,94.94,7,2,28.6,4,3,75.0,4,4,0,0,5,30,1,1,2,17,6,5,1,52,52.0,2,0,-2,3,7,10,13,0,32,47,32:47,21,4,17,0,61,397,6.5,4,23,73,3.2,1,36,27,324,3,0,9.0,12.0,75.0,129.86,13,9,69.2,0,0,0.0,5,3,0,0,5,36,0,0,2,13,5,4,2,91,45.5,0,2,2,100.0,0,60.0,0,3,3,0,0,0,1,1,0,0,3,3,0,2,0,0,0,2,2,41,18,2,13,3,0,0,38,16,2,17,2,1,1,Sunday,993002460,8,16,17692,9,2021,255
8,202110133,2021-09-09 20:20:00,1,2021,1,DAL,TB,AWAY,29,31,60,Raymond James Stadium,7,9,10,3,0,34,27,34:27,30,4,21,5,77,451,5.9,3,18,60,3.3,0,58,42,391,3,1,6.7,9.3,72.4,100.57,17,9,52.9,0,0,0.0,4,1,0,0,8,55,0,0,1,12,2,0,3,147,49.0,1,4,3,7,14,7,3,0,25,33,25:33,24,1,22,1,64,431,6.7,4,14,52,3.7,0,50,32,379,4,2,7.6,11.8,64.0,97.0,11,5,45.5,0,0,0.0,5,3,0,0,11,106,2,2,0,0,7,2,4,197,49.2,4,1,-3,25.0,0,60.0,0,3,2,0,0,0,0,0,5,3,4,4,0,0,0,0,0,1,1,31,32,0,0,6,2,2,46,32,1,12,5,0,0,Thursday,993002436,9,33,17682,9,2021,252
9,202110123,2021-09-12 16:25:00,1,2021,1,DEN,NYG,AWAY,27,13,40,MetLife Stadium,0,10,7,10,0,35,8,35:08,24,4,17,3,66,420,6.4,3,28,165,5.9,1,36,28,255,2,0,7.1,9.1,77.8,114.7,15,7,46.7,3,3,100.0,5,2,0,0,5,51,1,1,2,9,2,5,2,78,39.0,1,1,0,0,7,0,6,0,24,52,24:52,19,3,13,3,59,314,5.3,2,20,60,3.0,1,37,22,254,1,0,6.9,11.5,59.5,89.25,12,6,50.0,3,1,33.3,3,1,0,0,4,48,1,1,2,13,6,6,3,162,54.0,1,1,0,40.0,0,33.3,0,3,3,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,39,10,2,13,5,1,1,44,28,2,9,4,1,1,Sunday,993002456,10,23,17695,9,2021,255
